code	source	date	artn	ctxt
@heilzaam_werking_1	Volkskrant	2003-11-08	14	Het lypoceen , een *bestanddeel* dat bijdraagt aan *de* rode *kleur* , *zou* *een* **heilzame** *werking* *hebben* *op* *de* prostaat . <br> De stof is opgenomen in voedingssupplementen .
@heilzaam_effect_1	NRC Handelsblad	1999-11-27	148	vastgesteld dat alcoholconsumptie tot een vermindering van atherosclerose leidt . <br> Pierik *beschrijft* *de* **heilzame** *effecten* *van* *alcoholgebruik* *op* *de* bloedvaten en *de* bloeddruk , op mogelijke beroerten , galstenen , lichaamsgewicht , vruchtbaarheid , zwangerschap , botontkalking , kanker , verkoudheid , suikerziekte en seniele dementie .
@heilzaam_werking_2	Volkskrant	2002-03-29	79	Voor politici met dadendrang een gruwel , maar als men de casus van de Betuwelijn nog *voor* *de* *geest* haalt dan *zou* *het* advocatensysteem zijn **heilzame** *werking* *hebben* *kunnen* *bewijzen* . <br> Voorts verhoogt het advocatensysteem de integriteit van het
@heilzaam_effect_2	De Standaard	1999-03-27	133	de fictie-categorie alleen een feestelijke verliezer krijgen . <br> *De* *kwestie* *heeft* *alvast* één **heilzaam** *effect* : *het* *profiel* *van* commerciële boekenprijzen staat opnieuw ter discussie . <br> Tom
@heilzaam_ben_2	De Morgen	1999-03-18	45	ten goede komen . <br> Versterking *van* *de* politieke controle *op* *de* *Commissie* *kan* **heilzaam** *zijn* *maar* *de* *huidige* ongenuanceerde *discussie* *is* *gevaarlijk* *voor* Europees beleid en besluitvorming . <br>
@heilzaam_werk_2	Het Parool	1999-03-23	79	In een vervolg op een project met Ensemble Loos onderzoekt het gezelschap in Blood on the floor wederom of de samenwerking tussen frank en vrij improviserende jazzmuzikanten enerzijds en dapper maten tellende en genoteerde *noten* *spelende* *musici* *anderzijds* **heilzaam** *kan* *werken* . <br> Turnage heeft de zaak naar eigen zeggen niet op de
@schaal_richter	Het Nieuwsblad	2000-07-12	4	Wenen , Beneden-Oostenrijk en Burgenland zijn dinsdagochtend opgeschrikt door een *aardschok* *van* *4,8* *op* *de* **schaal** *van* *Richter* . <br> *De* *bevolking* van de hoofdstad werd daardoor bij het krieken
@schaal_gewicht	NRC Handelsblad	2002-09-07	160	Daarom is het van belang dat Nederland zich deze week achter de VS heeft geschaard , ook al legt ons land natuurlijk minder *gewicht* *in* *de* **schaal** dan *Duitsland* *in* het *Europese* debat over de al dan niet noodzakelijke toestemming van de Veiligheidsraad voor militaire actie tegen Irak .
@schaal_nonrichter	NRC Handelsblad	1999-01-09	10	"<br> "" Misschien deelt de computer mij op grond *van* *statistische* analyses *op* *een* **schaal** *van* *1* *tot* *12* *in* categorie 3 ' , zegt woordvoerder B. Crouwers van de registratiekamer ."
@schaal_nationaal	Volkskrant	2003-05-03	253	. <br> Die stad vormde de opmaat tot de latere *collectieve* *regelingen* *op* *nationale* **schaal** , stellen *de* auteurs , in navolging van socioloog prof. dr. Abram de Swaan .
@heffen_belasting	Het Parool	2001-05-02	99	Op het inkomen boven *die* drie miljoen *gulden* *wil* De *Waal* *honderd* *procent* *belasting* **heffen** . <br> De opbrengst gaat naar de allerarmsten . <br> Ah , een
@heffen_tol	NRC Handelsblad	1999-10-02	31	Mobiliteitsproblemen , rekeningrijden , op een andere manier het *gebruik* van de *weg* *belasten* , kilometers *tellen* , *tol* **heffen** - de *mogelijkheden* *om* de ingebouwde chip *te* benutten zijn vrijwel onbeperkt . <br>
@heffen_accijns	De Morgen	2002-07-25	104	De accijnsheffingen tussen de verschillende landen variëren zeer sterk ten opzichte van elkaar , waardoor er aan weerszijden van het door Bolkestein voorgestelde minimum een discrepantie komt : in landen als Groot-Brittannië ( waar de accijnzen op 742 euro per 1.000 liter liggen ) , Italië *en* *Duitsland* ( *die* *beide* *accijnzen* *boven* de *400* *euro* **heffen** ) komt de *harmonisering* ten goede van de transportsector , terwijl in andere landen ( zoals Spanje , Ierland , Oostenrijk , Finland en België , waar de accijnzen rond de 300 euro schommelen ) de overheid een voordeel heeft .
@heffen_glas	De Standaard	2004-10-20	150	met het vertrouwde pintje . <br> Nog *twaalf* andere deelnemers *konden* *maandagavond* *het* *glas* **heffen** *op* de *hoogste* *winst* . <br> De dertien deelnemers die 5-9-15-23-29-32 hadden aangekruist ,
@hachelijk_onderneming	Volkskrant	2002-08-05	46	Het is geen gewaagde stelling dat de deelname van de LPF aan de *regering* *een* **hachelijke** *onderneming* *blijft* . <br> De situatie waarin de LPF is terechtgekomen , is het
@hachelijk_zaak	Volkskrant	2004-05-05	42	Daar baseerden de media zich op slechts één bron , en elke journalist weet dat *dat* *een* **hachelijke** *zaak* *is* . ' <br> Jacques Wallage , burgemeester van Groningen : ' Vroeger
@hachelijk_avontuur	Het Parool	2000-03-17	34	Het stadsautootje voelt zich beter thuis op het gladde asfaltlint van de snelweg en zolang er geen fikse zijwind staat - want hij is daar door z'n relatief hoge bouw én achterwielaandrijving erg gevoelig voor , met storm opzij is het *inhalen* van *een* *vrachtwagen* *een* **hachelijk** *avontuur* - *kan* je daar heel relaxed grote afstanden mee afleggen . <br> Je
@hachelijk_moment	Het Laatste Nieuws	2001-05-14	375	de reguliere competitie viel er toch iets te beleven . <br> *Kortrijk* *beleefde* *enkele* **hachelijke** *momenten* tegen *Brussels* , dat in zijn ondiep bad bewees zijn vierde plaats in de play-offs waard te zijn .
@hachelijk_situatie	De Standaard	2004-10-02	162	"als interne Palestijnse factoren . <br> Kort maar krachtig staat er : "" De **hachelijke** *situatie* van *Palestina* *is* vooral een interne aangelegenheid , hoewel de bezetting en de confrontatie met Israël er de context voor schept ."
@hachelijk_positie	De Morgen	1999-06-07	126	Nederlandse Wendelien van Oldenborgh . <br> Zij toont knappe filmpjes , *opgenomen* *vanuit* de **hachelijke** *positie* van *een* deltavlieger , ze doorkruist de ruimte met een betreedbare loopbrug om ten slotte met haar ' pin drawings ' een wervelend veld van spelden te prikken op een piepschuimen plattegrond van de exporuimte in de centrale bib .
@herstructureren_worden	Het Parool	2003-04-16	69	OK-score deelt bedrijven op in tien klassen ; klasse 1 blaakt van gezondheid , klasse 10 is op sterven na dood , ofwel , staat op de rand van faillissement en *moet* *grondig* *worden* **geherstructureerd** . <br> OK-score kent een OK-solvabiliteitsratio en een OK-ratio . <br> Bij de
@herstructureren_bedrijf	De Standaard	2004-01-06	59	Schulpe en Dominique Vercraeye via een management buy-out de leiding over . <br> *Ze* **herstructureerden** *het* *bedrijf* *en* loodsten het de internationale groep Taylor Nelson Sofres ( TNS ) binnen .
@herstructureren_omte	NRC Handelsblad	2000-11-07	11	"Uiteindelijk is dat de regering , want toen de crisis uitbrak nam de overheid een belang in de banken *om* *ze* *te* **herstructureren** *en* *uiteindelijk* *weer* te verkopen . <br> "" Deze regering wàs in het begin"
@herinneren_aan	Het Parool	2002-05-18	101	"benaderde tijdens de verkiezingscampagne , werd hij beticht van stigmatisering . "" <br> Vinocur **herinnert** *aan* een tekening van Plantu in L'Express . <br> Een vrouw wordt van haar"
@herinneren_ik	Het Parool	2003-11-14	79	: ondermaatse vertolkingen doen hem pijn en maken hem woedend . <br> ( *Ik* **herinner** *me* een *concert* *waarop* *hij* hevig gesticulerend applaus in ontvangst kwam nemen . <br>
@herinneren_zich	Het Nieuwsblad	2001-08-08	192	"in het Oostenrijkse Klagenfurt . <br> "" Het was *die* *dag* *bloedheet* "" , **herinnert** de *atlete* *uit* *Sint-Andries* *zich* *nog* *levendig* . <br> "" Maar van extreme temperaturen"
@herinneren_eraan	De Morgen	2001-11-10	40	zoals waterverf , acrylaatverf , Oost-Indische inkt en olieverf . <br> In *zijn* *voorwoord* **herinnert** Manara *eraan* *dat* deze *meisjes* in hun *tijd* *vaak* met toegeknepen oogjes werden aanschouwd .
@uitspraak_1	De Standaard	2002-05-04	95	<date>2002-05-04</date> <author>mr , lcp</author> KV Mechelen krijgt licentie <br> BRUSSEL - <br> *Het* beroepscomité **herriep** *gisteren* *de* *uitspraak* van de licentiecommissie en besliste om KV Mechelen toch zijn licentie te geven .
@uitspraak_2	NRC Handelsblad	2001-10-04	79	Onder druk van Commissievoorzitter Prodi heeft Nielson verklaard dat hij verkeerd is geïnterpreteerd , maar hij heeft *zijn* *uitspraak* *niet* **herroepen** . <br> Hij is vanavond uitgenodigd door de fractievoorzitters van het Europees Parlement om
@heet_soep	Volkskrant	1999-12-21	22	Hoogstwaarschijnlijk zal Poetin Ruslands afgeknapte westerse partners discreet laten weten dat zodra hij eenmaal in het Kremlin *zit* , *de* *soep* *minder* **heet** *gegeten* *zal* *worden* . <br> Dat is echter een zeer schrale troost . <br>
@geldig_voorleggen	Het Laatste Nieuws	2001-08-24	64	naar Groot-Brittannië te smokkelen . <br> Aan de incheckbalie *kon* de *Somaliër* *echter* geen **geldige** *papieren* *voorleggen* . <br> Hij en de Ethiopiër werden opgepakt . <br> De
@geldig_lang	De Standaard	1999-05-29	41	Klanten van Kunst In Huis zijn bovendien zeker van variatie : wie lid is , kan elke maand een ander werk uitkiezen , het *abonnement* *blijft* een leven *lang* **geldig** en de *maandelijkse* *huurprijs* van 250 *frank* *is* *ook* *niet* bepaald hoog te noemen .
@blik_werpen	Het Laatste Nieuws	2002-04-23	54	Op zaterdag 27 april zwaait de lokale politie van de zone Kortrijk-Kuurne-Lendelede de deuren wijd *open* voor *al* *wie* *een* **blik** wil *werpen* *achter* *de* *schermen* van het politiewerk . <br> In Kortrijk kan je
@blik_richten	Volkskrant	2003-09-27	170	Maar wat is goed genoeg , zo lijkt Staelens zich *af* te vragen , *haar* **blik** *strak* *naar* *beneden* *gericht* . <br> Zaterdag , vandaag precies een week geleden ,
@blik_1	Het Parool	2004-03-02	121	blijft het beeld van de generaal bestaan . <br> Totdat *Walsh* *met* *een* *droevige* **blik** *in* *zijn* *ogen* vertelt dat hij het moeilijk heeft . <br> Het is niet
@blik_3	Algemeen Dagblad	2001-02-20	129	. <br> IMF en Wereldbank liggen al jaren onder vuur wegens *hun* vermeend *eenzijdige* **blik** *op* *de* ontwikkelingsproblemen *van* *Afrika* . <br> De enorme hoeveelheden geld die in Afrika
@blik_5	NRC Handelsblad	2003-12-05	120	had een gelukkige jeugd . <br> Zijn vader had *een* fabriek waar *voedsel* *in* **blik** werd gemaakt . <br> Hij werd opgevoed door zijn moeder en drie jongere zussen
@huldigen_principe	De Morgen	1999-03-10	12	"opgetrokken naar twee tot vijf miljoen . <br> Jacques : "" Voor het *eerst* **huldigen** we het *principe* dat de vervuiler betaalt . <br> En daar zal niet van"
@huldigen_standpunt	NRC Handelsblad	2000-04-03	97	haar zaak tegen uitwijzing in hoger beroep verliezen . <br> De regering in Washington **huldigt** het *standpunt* dat volgens Amerikaans recht de vader beslist over het domicilie van zijn minderjarige zoon .
@huldigen_opvatting	De Standaard	2003-01-09	93	de objectieve stand van zaken in de buitenwereld zou kunnen *weerspiegelen* . <br> Rorty **huldigde** *voortaan* de *opvatting* dat waarheid synoniem is voor wat goed is voor ons . <br>
@huldigen_kampioen	Het Laatste Nieuws	2003-04-15	121	van zeven wedstrijden in 1953 naar vijftien in 2003 geëvolueerd . <br> Elk *jaar* **huldigen** wij onze *kampioenen* en sinds enkele jaren richten we een jeugdkampioenschap in &quot; , zegt voorzitter Eddy Vermoortele .
@huldigen_1	Het Laatste Nieuws	2003-07-18	256	Langs de versierde straten zijn we naar de kerk gereden en na de plechtigheid hebben we Karel nog **gehuldigd** in *feestzaal* Santro . <br> Hij is nog een heel kranige man . <br>
@stof_sense6	Algemeen Dagblad	1999-12-08	3	<br> Het huwelijk tussen de hervormde Maurits en de katholieke Marylene *deed* de *nodige* **stof** *opwaaien* . <br> Het gemakkelijkst is het natuurlijk als de aanstaande gewoon Nederlands Hervormd
@stof_sense2	De Standaard	2001-01-19	6	"Dankzij de nieuwe vlekwerende "" stay clean""-behandelingen dringen zelfs vloeistoffen zoals olie , vruchtensap of *water* niet in de **stof** . <br> De 3 by 1 wordt nu al beschouwd als een echte """
@stof_sense4	De Morgen	2003-04-15	65	<article> <topic></topic> <section>Sport</section> <subsection></subsection> <edition>algemeen</edition> <date>2003-04-15</date> <author>Freddy Carremans</author> Na het **stof** de *douche* <br> De tocht door de Hel zit er op . <br>
